iter	Passed	Remaining
149	857	4858
150	860	4839
151	863	4819
152	870	4819
153	873	4798
154	877	4782
155	881	4766
156	884	4751
157	892	4754
158	896	4742
159	900	4727
160	903	4710
161	907	4696
162	915	4702
163	920	4690
164	925	4682
165	928	4665
166	932	4651
167	939	4654
168	944	4643
169	949	4638
170	953	4620
171	956	4603
172	963	4605
173	966	4590
174	972	4582
175	975	4566
176	978	4548
177	981	4531
178	989	4537
179	994	4528
180	997	4512
181	1001	4500
182	1004	4485
183	1011	4484
184	1015	4474
185	1019	4461
186	1023	4450
187	1026	4435
188	1030	4421
189	1035	4415
190	1040	4407
191	1044	4393
192	1047	4378
193	1050	4363
194	1053	4348
195	1058	4342
196	1061	4328
197	1065	4316
198	1070	4307
199	1074	4296
200	1080	4295
201	1084	4285
202	1087	4271
203	1091	4257
204	1095	4246
205	1100	4240
206	1103	4229
207	1107	4217
208	1110	4203
209	1117	4205
210	1122	4195
211	1128	4195
212	1131	4181
213	1135	4171
214	1140	4162
215	1143	4150
216	1147	4141
217	1151	4131
218	1155	4120
219	1159	4110
220	1163	4101
221	1168	4094
222	1175	4095
223	1178	4084
224	1182	4073
225	1185	4060
226	1189	4051
227	1193	4042
228	1200	4042
229	1203	4030
230	1208	4022
231	1212	4013
232	1216	4005
233	1221	3999
234	1226	3992
235	1229	3980
236	1234	3972
237	1238	3964
238	1243	3958
239	1247	3949
240	1250	3938
241	1254	3929
242	1257	3918
243	1261	3909
244	1269	3911
245	1272	3900
246	1276	3890
247	1279	3879
248	1283	3872
249	1287	3862
250	1293	3861
251	1297	3851
252	1301	3842
253	1304	3832
254	1308	3822
255	1312	3813
256	1317	3808
257	1321	3800
258	1326	3795
259	1330	3787
260	1334	3779
261	1339	3774
262	1343	3764
263	1353	3772
264	1356	3762
265	1362	3759
266	1365	3748
267	1369	3740
268	1373	3733
269	1379	3728
270	1386	3729
271	1390	3722
272	1395	3716
273	1400	3709
274	1404	3702
275	1408	3695
276	1412	3685
277	1416	3679
278	1421	3673
279	1425	3666
280	1431	3662
281	1435	3654
282	1440	3648
283	1446	3646
284	1451	3640
285	1456	3637
286	1460	3629
287	1464	3620
288	1468	3613
289	1472	3606
290	1480	3608
291	1488	3608
292	1493	3604
293	1499	3600
294	1508	3604
295	1515	3603
296	1520	3598
297	1527	3598
298	1531	3590
299	1536	3585
300	1540	3578
301	1545	3572
302	1552	3571
303	1556	3563
304	1562	3560
305	1567	3555
306	1575	3557
307	1579	3548
308	1584	3542
309	1587	3534
310	1592	3527
311	1599	3526
312	1602	3516
313	1605	3507
314	1608	3498
315	1617	3500
316	1625	3502
317	1630	3497
318	1635	3491
319	1639	3484
320	1646	3483
321	1650	3475
322	1655	3469
323	1659	3463
324	1663	3455
325	1674	3461
326	1678	3454
327	1682	3446
328	1686	3440
329	1692	3436
330	1696	3428
331	1699	3420
332	1703	3412
333	1708	3407
334	1713	3401
335	1718	3395
336	1722	3389
337	1728	3384
338	1734	3381
339	1739	3376
340	1743	3370
341	1748	3363
342	1752	3356
343	1756	3349
344	1760	3341
345	1764	3335
346	1768	3328
347	1773	3322
348	1777	3316
349	1781	3309
350	1786	3302
351	1792	3299
352	1798	3296
353	1802	3289
354	1807	3283
355	1814	3282
356	1818	3275
357	1823	3269
358	1828	3265
359	1834	3260
360	1839	3255
361	1843	3249
362	1847	3242
363	1851	3234
364	1855	3227
365	1859	3221
366	1864	3215
367	1868	3208
368	1872	3201
369	1875	3193
370	1881	3189
371	1885	3183
372	1890	3177
373	1894	3171
374	1900	3166
375	1923	3191
376	1935	3198
377	1940	3193
378	1943	3185
379	1948	3178
380	1952	3172
381	1956	3165
382	1961	3159
383	1965	3152
384	1970	3146
385	1973	3138
386	1977	3132
387	1981	3124
388	1985	3119
389	1989	3112
390	1992	3104
391	1996	3097
392	2001	3091
393	2005	3084
394	2009	3077
395	2013	3071
396	2017	3064
397	2021	3056
398	2024	3049
399	2028	3043
400	2032	3035
401	2038	3032
402	2043	3026
403	2061	3040
404	2065	3034
405	2080	3044
406	2084	3037
407	2090	3033
408	2100	3035
409	2104	3029
410	2110	3025
411	2115	3018
412	2121	3014
413	2124	3007
414	2128	3000
415	2132	2993
416	2136	2986
417	2146	2988
418	2153	2986
419	2159	2982
420	2174	2990
