iter	RMSE
640	0.3500087672
641	0.3495966689
642	0.3489254038
643	0.3478746375
644	0.3471760705
645	0.346536958
646	0.3455699916
647	0.3455532687
648	0.344669941
649	0.3442266442
650	0.3437205536
651	0.3433678183
652	0.3430308666
653	0.3423988267
654	0.3417696641
655	0.3416186811
656	0.3408118792
657	0.3404410528
658	0.3399071706
659	0.3394574341
660	0.3391764565
661	0.3391365467
662	0.3383117629
663	0.3382971916
664	0.3375801811
665	0.3367498875
666	0.3360269488
667	0.3356173451
668	0.3349450438
669	0.3343649773
670	0.3337980837
671	0.3326229836
672	0.3322077861
673	0.3318619643
674	0.3313567133
675	0.3304114494
676	0.3296237182
677	0.3288349205
678	0.3286401336
679	0.3282466035
680	0.3282427915
681	0.3282319772
682	0.3272861438
683	0.3266974461
684	0.3259720261
685	0.3253014561
686	0.324471262
687	0.3239012865
688	0.3231587314
689	0.3228408496
690	0.3220680185
691	0.3214945673
692	0.3209159083
693	0.3203840554
694	0.3196111978
695	0.3193028591
696	0.3186662134
697	0.3181635286
698	0.3181541217
699	0.3177185868
700	0.3172455033
701	0.3165577273
702	0.3158823263
703	0.3152317821
704	0.3149893836
705	0.3143127828
706	0.3137614333
707	0.3134176682
708	0.3127698304
709	0.3120278649
710	0.3113521437
711	0.3108572035
712	0.3103310194
713	0.3096872196
714	0.3092913572
715	0.3088551632
716	0.3081994929
717	0.3073872331
718	0.3067858043
719	0.3064281095
720	0.305958542
721	0.3051219745
722	0.3045650096
723	0.3035202049
724	0.3029663425
725	0.3022080675
726	0.3016115332
727	0.3011895088
728	0.3009515719
729	0.3002392252
730	0.2997149282
731	0.2988650511
732	0.2981511353
733	0.2976614813
734	0.2968004495
735	0.2961024881
736	0.2951136843
737	0.2944878322
738	0.2940295867
739	0.2931328311
740	0.2928970069
741	0.2926859392
742	0.2923831387
743	0.2917201625
744	0.2911699101
745	0.2905413198
746	0.2905373836
747	0.2901292436
748	0.2894932634
749	0.2886914352
750	0.2882918606
751	0.2882132686
752	0.2876055404
753	0.2867748853
754	0.2863641618
755	0.2858351496
756	0.2853919115
757	0.2851676711
758	0.2848014446
759	0.2840078274
760	0.2834974438
761	0.2830616544
762	0.2825378753
763	0.2817071816
764	0.2811972212
765	0.2808843741
766	0.2805622808
767	0.2801567884
768	0.2794624274
769	0.2789943423
770	0.2786712121
771	0.2782633718
772	0.2779888004
773	0.2771780868
774	0.2766918737
775	0.2762318995
776	0.2756845833
777	0.2752626495
778	0.2750855976
779	0.2743914314
780	0.2738432002
781	0.273178932
782	0.2728593587
783	0.2725555909
784	0.2719523555
785	0.271724649
786	0.2713774712
787	0.2706793589
788	0.2703602071
789	0.2696837379
790	0.2692507828
791	0.2687881639
792	0.2683512983
793	0.2679238413
794	0.2676007747
795	0.2668675624
796	0.2668640975
797	0.2663221872
798	0.265770708
799	0.2652479922
800	0.2648326388
801	0.2643247321
802	0.2636678646
803	0.2632383964
804	0.2627805432
805	0.2623668579
806	0.2617545616
807	0.261205789
808	0.2605995968
809	0.2599875318
810	0.2595899127
811	0.2590631523
812	0.2584429421
813	0.2581481604
814	0.2577694155
815	0.2572307274
816	0.256778739
817	0.2563959946
818	0.2558756917
819	0.2550428201
820	0.254313205
821	0.2539326166
822	0.25392337
823	0.2531522156
824	0.2528118441
825	0.2523136352
826	0.2515676216
827	0.2512600263
828	0.2505650659
829	0.2500771162
830	0.2491688306
831	0.24860074
832	0.2483788536
833	0.2480127452
834	0.2475830811
835	0.2469345874
836	0.2466030635
837	0.2459084816
838	0.2457209431
839	0.2453537001
840	0.2447767537
841	0.2444293255
842	0.2439162345
843	0.2433918685
844	0.2425108593
845	0.2420169101
846	0.2416776376
847	0.2412391785
848	0.2410688663
849	0.2410582064
850	0.2409811898
851	0.2407522645
852	0.240399241
853	0.239830937
854	0.2395883412
855	0.2392513756
856	0.2387124419
857	0.2383230643
858	0.2379473996
859	0.2374607315
860	0.236987347
861	0.2366352581
862	0.2359966616
863	0.235394157
864	0.2350178289
865	0.2344450337
866	0.2343524657
867	0.2339487436
868	0.2339363924
869	0.2332074873
870	0.2327000102
871	0.2323658539
872	0.2320486922
873	0.2318044456
874	0.231292378
875	0.2309429779
876	0.2304181048
877	0.2300792644
878	0.2296506976
879	0.2293213455
880	0.2289466989
881	0.2284814047
882	0.228080654
883	0.2276110412
884	0.227086047
885	0.2268339685
886	0.2263180285
887	0.2261607711
888	0.2257844066
889	0.2254222813
890	0.2252789796
891	0.2251559518
892	0.2248802887
893	0.2243991007
894	0.2241287621
895	0.2236313752
896	0.2231436198
897	0.2227653914
898	0.2222458021
899	0.2222380236
900	0.2217423345
901	0.2214224491
902	0.2214135161
903	0.220876103
904	0.2202308067
905	0.2197130016
906	0.219296142
907	0.2188750204
908	0.2186368852
909	0.2182309754
910	0.2178962721
911	0.2175789285
912	0.2175689887
913	0.2170476091
914	0.216514098
915	0.2157805705
916	0.2152953049
917	0.2152921252
918	0.2149454802
919	0.2148910018
920	0.2145217137
921	0.2140999207
922	0.213652209
923	0.2133956915
924	0.2128459511
925	0.2123542415
926	0.2120250259
927	0.211607996
928	0.21128946
929	0.2108139809
930	0.2103990426
931	0.2100358957
932	0.2097606396
933	0.2092758916
934	0.2088200623
935	0.2083722923
936	0.2081962229
937	0.207701775
938	0.2075539554
939	0.2071055281
940	0.2066865835
941	0.2063425198
942	0.205787996
943	0.2054631214
944	0.2051015254
945	0.2043584167
946	0.2041552891
947	0.2038446673
948	0.2034962787
949	0.203004844
950	0.2027395951
951	0.2022666843
952	0.2021744406
953	0.2019568758
954	0.2016794467
955	0.2012110824
956	0.2007450672
957	0.2004386786
958	0.2000305055
959	0.1998508147
960	0.1995315182
961	0.1992042507
962	0.199051786
963	0.1987275366
964	0.1984210429
965	0.1981907093
966	0.1981840382
967	0.1977795434
968	0.1971997623
969	0.1966917568
970	0.1962849411
971	0.1960051942
972	0.1956703324
973	0.1953199268
974	0.1949602163
975	0.1949525181
976	0.1946160695
977	0.1942463463
978	0.1938657794
979	0.1935822009
980	0.193274117
981	0.1931065888
982	0.1926478156
983	0.1922401801
984	0.1919715
985	0.1916721622
986	0.1913430034
987	0.1908680518
988	0.19039907
989	0.1900093828
990	0.1897579517
991	0.189460842
992	0.1891305275
993	0.1886414268
994	0.1882056207
995	0.1878874321
996	0.1875978562
997	0.1871466422
998	0.1867300299
999	0.1863510342
